iter	RMSE
0	0.4575572587
1	0.4520764347
2	0.4462122818
3	0.4402380138
4	0.435198043
5	0.4299135819
6	0.424787084
7	0.4201214737
8	0.4160359352
9	0.4114697309
10	0.4068729759
11	0.4026933012
12	0.3980537889
13	0.3937825162
14	0.3895164401
15	0.3854654744
16	0.3820394474
17	0.3781722064
18	0.3746167387
19	0.3713849603
20	0.368488658
21	0.3647809962
22	0.3615527344
23	0.3587064986
24	0.3558831968
25	0.3536619497
26	0.3502245225
27	0.3471934935
28	0.3443585085
29	0.3412001943
30	0.338261673
31	0.335802994
32	0.332925801
33	0.3305719361
34	0.3278369916
35	0.3256060894
36	0.3233488757
37	0.3207266615
38	0.3185117811
39	0.3160219715
40	0.3136317196
41	0.311630947
42	0.3094144595
43	0.307189508
44	0.3050802025
45	0.3030528584
46	0.3012443673
47	0.2998652329
48	0.2979932759
49	0.2966163496
50	0.2944815447
51	0.2933645186
52	0.2918805905
53	0.2902477519
54	0.2885775147
55	0.2871773628
56	0.2853238315
57	0.2836862442
58	0.2821355955
59	0.280559338
60	0.279167289
61	0.2779419705
62	0.2768018117
63	0.2754902342
64	0.2738946719
65	0.2727164115
66	0.2713314476
67	0.2704467193
68	0.2690959011
69	0.2678557158
70	0.2668229255
71	0.265865859
72	0.2646064681
73	0.2636253722
74	0.2628489278
75	0.2617030193
76	0.2607611737
77	0.2596903778
78	0.2587046211
79	0.2578364373
80	0.256984268
81	0.2562508997
82	0.2552629274
83	0.2545051054
84	0.253775259
85	0.2529117874
86	0.2520316167
87	0.251088273
88	0.2504105136
89	0.2496678025
90	0.2490359349
91	0.2483296951
92	0.2476531663
93	0.2472909031
94	0.2468368722
95	0.2462830123
96	0.245625645
97	0.2451892994
98	0.244279776
99	0.2435722071
100	0.2431459126
101	0.2424630821
102	0.2419119727
103	0.2412276216
104	0.2404636785
105	0.2398717476
106	0.2390757686
107	0.2386142031
108	0.2379463167
109	0.2374107923
110	0.2370978656
111	0.2365872376
112	0.2361708829
113	0.2358101652
114	0.2352366401
115	0.2347610741
116	0.2342028543
117	0.2335186175
118	0.2331712296
119	0.2324768691
120	0.2318547928
121	0.2314905738
122	0.2310269093
123	0.2306240941
124	0.2298014684
125	0.2294802459
126	0.2290626125
127	0.2286301008
128	0.2282457177
129	0.2277138204
130	0.2271757884
131	0.2267867043
132	0.2262566217
133	0.2259861663
134	0.2254756875
135	0.2251075311
136	0.2247770575
137	0.2244502941
138	0.2239628358
139	0.2235599495
140	0.2233443079
141	0.2230838171
142	0.2227636471
143	0.2223618309
144	0.2219351583
145	0.2213828798
146	0.2213140925
147	0.2209035874
148	0.220566385
149	0.2202861766
150	0.2198901616
151	0.2194601933
152	0.2190388655
153	0.2187545864
154	0.218448555
155	0.2180546837
156	0.2177437114
157	0.2175545307
158	0.2172235998
159	0.2169050787
160	0.2165556087
161	0.2160821955
162	0.2157507778
163	0.2154631429
164	0.2149288801
165	0.2145312013
166	0.2142365872
167	0.2138187417
168	0.2134662058
169	0.2130565808
170	0.2128123573
171	0.2127234493
172	0.2126403561
173	0.2125196818
174	0.2122642831
175	0.2120805213
176	0.2118321659
177	0.211383465
178	0.2112312113
179	0.2109139855
180	0.2107231808
181	0.2104520864
182	0.2102452212
183	0.2101107376
184	0.2099103285
185	0.2096928552
186	0.2093791122
187	0.2091698446
188	0.208951499
189	0.2086807932
190	0.208611861
191	0.2082625156
192	0.2080595633
193	0.2078732445
194	0.2077671711
195	0.2075924426
196	0.2074829448
197	0.2071449645
198	0.2069498181
199	0.2068179093
200	0.2066096284
201	0.2062269314
202	0.2060590587
203	0.2058552489
204	0.2057238077
205	0.2055309163
206	0.2052874257
207	0.2049980857
208	0.2047649294
209	0.2045873575
210	0.2045847713
211	0.2042707261
212	0.203990609
213	0.2037076379
214	0.2034562707
215	0.2032698746
216	0.2031320093
217	0.2027954541
218	0.2026178604
219	0.2024071178
220	0.2021378182
221	0.2021013937
222	0.2020450035
223	0.2017352076
224	0.2014420641
225	0.201281432
226	0.2012409058
227	0.2009827957
228	0.2007942088
229	0.2005032756
230	0.2003163306
231	0.2000298119
232	0.1999269358
233	0.1997662002
234	0.1996500955
235	0.1995883126
236	0.1993863876
237	0.1993443886
238	0.1992952094
239	0.1992204975
240	0.1990545352
241	0.1988311094
242	0.1986657578
243	0.1986336768
244	0.1983317796
245	0.1980893263
246	0.1978428844
247	0.1975452785
248	0.1974554197
249	0.1971486402
250	0.1969938097
251	0.1969198663
252	0.1966020347
253	0.1962673341
254	0.1960443433
255	0.1958712192
256	0.1956506693
257	0.1953557426
258	0.1950238667
259	0.194622746
260	0.1944911211
261	0.1943723633
262	0.1942381918
263	0.1939622294
264	0.1937722639
265	0.1936767941
266	0.1934627421
267	0.1934532806
268	0.1933865948
269	0.1931203146
270	0.1929901826
271	0.1928752958
272	0.1927988686
273	0.1924501325
274	0.1922408516
275	0.1920042187
276	0.1918977828
277	0.1917871067
278	0.191527794
279	0.1914103187
280	0.191258963
281	0.1910684809
282	0.1909366606
283	0.1907412539
284	0.19052585
285	0.1903779137
286	0.1902744997
287	0.1902026889
288	0.1900788808
289	0.1898995207
290	0.189706845
291	0.1894570978
292	0.1892630571
293	0.1891019435
294	0.1889864893
295	0.1888649773
296	0.1885704456
297	0.1883618666
298	0.1881367558
299	0.1879250593
300	0.1878147882
301	0.1876575486
302	0.1875253508
303	0.1874004289
304	0.1871798458
305	0.186999421
306	0.1867068358
307	0.1864792294
308	0.1863846926
309	0.186328825
310	0.186045813
311	0.1859179634
312	0.1858087726
313	0.1857117864
314	0.1854869229
315	0.1852753626
316	0.1850871851
317	0.1849930035
318	0.184847916
319	0.1847359542
320	0.1846320655
321	0.1845001219
322	0.1844467052
323	0.1843648379
324	0.1841628764
325	0.1840749858
326	0.1838425926
327	0.1835885349
328	0.1834800634
329	0.1834198985
330	0.1833086736
331	0.1831150885
332	0.1829570231
333	0.1827721966
334	0.1825101355
335	0.1823239019
336	0.1822280816
337	0.1820746302
338	0.1818956381
339	0.1817466237
340	0.1814648371
341	0.1812883715
342	0.1812038813
343	0.1810998837
344	0.1809223869
345	0.1807795849
346	0.1807165957
347	0.1805574471
348	0.1804343075
349	0.1802088448
350	0.180124768
351	0.1800503796
352	0.1798180873
353	0.1797175631
354	0.1796208914
355	0.1794624236
356	0.179351753
357	0.1792315786
358	0.1791562322
359	0.179030804
360	0.1788676193
361	0.1787445177
362	0.1785624421
363	0.178360807
364	0.1782046595
365	0.1779847072
366	0.1778438657
367	0.1775324682
368	0.1774146159
369	0.1772777159
370	0.1771246733
371	0.1770137331
372	0.1768882125
373	0.176716087
374	0.1766025327
375	0.176563034
376	0.176440901
377	0.1763638259
378	0.1760176878
379	0.1758548958
380	0.1756682962
381	0.1755321635
382	0.1752995907
383	0.1752738198
384	0.175018925
385	0.1749299327
386	0.1748486822
387	0.1747625499
388	0.1747311135
389	0.174615668
390	0.1744504021
391	0.174340534
392	0.174159686
393	0.1740544035
394	0.1738681284
395	0.1736063499
396	0.1735053866
397	0.1734092533
398	0.173206402
399	0.1730136696
400	0.1728926198
401	0.1728039885
402	0.1726212049
