iter	Passed	Remaining
0	16	11773
1	33	12076
2	51	12304
3	66	11867
4	83	11926
5	99	11820
6	115	11765
7	128	11492
8	143	11347
9	158	11234
10	175	11312
11	189	11199
12	205	11189
13	220	11117
14	233	11008
15	248	10955
16	268	11100
17	285	11160
18	305	11271
19	321	11257
20	342	11407
21	359	11417
22	379	11521
23	396	11510
24	413	11502
25	429	11471
26	451	11611
27	468	11607
28	487	11621
29	503	11604
30	523	11660
31	539	11623
32	556	11598
33	573	11586
34	588	11540
35	606	11531
36	622	11508
37	638	11477
38	654	11441
39	669	11403
40	685	11375
41	703	11371
42	719	11351
43	735	11319
44	751	11284
45	766	11254
46	781	11201
47	796	11167
48	814	11166
49	828	11116
50	843	11075
51	859	11062
52	875	11034
53	890	10999
54	907	10988
55	921	10948
56	937	10926
57	953	10903
58	972	10912
59	990	10915
60	1007	10905
61	1022	10868
62	1038	10846
63	1055	10832
64	1071	10817
65	1086	10784
66	1103	10770
67	1119	10747
68	1134	10721
69	1149	10687
70	1165	10667
71	1179	10631
72	1195	10612
73	1211	10592
74	1226	10565
75	1241	10539
76	1260	10544
77	1276	10521
78	1292	10500
79	1307	10472
80	1321	10445
81	1337	10423
82	1353	10403
83	1368	10375
84	1383	10352
85	1399	10332
86	1415	10316
87	1430	10290
88	1446	10272
89	1463	10257
90	1477	10230
91	1494	10215
92	1510	10197
93	1525	10173
94	1539	10146
95	1556	10131
96	1572	10113
97	1587	10089
98	1603	10077
99	1619	10054
100	1634	10033
101	1650	10018
102	1666	9999
103	1680	9971
104	1696	9954
105	1711	9930
106	1727	9910
107	1742	9891
108	1758	9875
109	1773	9851
110	1790	9837
111	1805	9817
112	1819	9789
113	1834	9767
114	1850	9752
115	1866	9734
116	1881	9715
117	1898	9702
118	1913	9679
119	1927	9655
120	1943	9638
121	1958	9617
122	1973	9595
123	1989	9579
124	2005	9559
125	2019	9538
126	2034	9514
127	2049	9496
128	2065	9479
129	2080	9458
130	2097	9445
131	2112	9424
132	2127	9406
133	2142	9383
134	2158	9368
135	2172	9343
136	2188	9327
137	2196	9279
138	2211	9258
139	2226	9240
140	2243	9227
141	2258	9210
142	2274	9195
143	2290	9177
144	2305	9157
145	2320	9138
146	2335	9117
147	2350	9101
148	2365	9080
149	2380	9062
150	2396	9045
151	2411	9027
152	2426	9008
153	2442	8992
154	2457	8973
155	2472	8953
156	2489	8941
157	2503	8920
158	2518	8902
159	2535	8888
160	2551	8873
161	2565	8853
162	2582	8840
163	2598	8824
164	2613	8807
165	2629	8791
166	2645	8774
167	2659	8755
168	2674	8735
169	2690	8721
170	2705	8701
171	2721	8687
172	2738	8673
173	2754	8660
174	2770	8644
175	2787	8630
176	2801	8609
177	2816	8592
178	2831	8574
179	2847	8559
180	2862	8539
181	2878	8523
182	2894	8508
183	2908	8489
184	2923	8470
185	2939	8456
186	2955	8440
187	2971	8424
188	2987	8409
189	3002	8390
190	3017	8373
191	3033	8357
192	3049	8343
193	3064	8324
194	3081	8310
195	3096	8294
196	3112	8278
197	3127	8261
198	3143	8246
199	3158	8228
200	3173	8210
201	3190	8197
202	3205	8178
203	3219	8160
204	3235	8143
205	3251	8127
206	3265	8108
207	3282	8095
208	3296	8075
209	3311	8058
210	3326	8040
211	3342	8025
212	3357	8007
213	3372	7990
214	3387	7972
215	3402	7953
216	3416	7935
217	3432	7920
218	3447	7902
219	3462	7886
220	3481	7877
221	3495	7857
222	3510	7839
223	3525	7821
224	3541	7807
225	3556	7790
226	3570	7771
227	3588	7759
228	3602	7740
229	3617	7721
230	3632	7704
231	3647	7688
232	3661	7667
233	3676	7652
234	3692	7635
235	3706	7617
236	3721	7600
237	3737	7584
238	3751	7566
239	3768	7553
240	3783	7536
241	3798	7518
242	3813	7501
243	3828	7484
244	3842	7465
245	3856	7447
246	3872	7432
247	3888	7415
248	3903	7398
249	3917	7380
250	3932	7364
251	3948	7348
252	3963	7332
253	3980	7317
254	3995	7301
255	4011	7285
256	4027	7271
257	4044	7257
258	4060	7242
259	4076	7227
260	4090	7210
261	4106	7194
262	4122	7178
263	4137	7161
264	4152	7145
265	4169	7131
266	4184	7115
267	4199	7098
268	4213	7080
269	4229	7065
270	4243	7047
271	4259	7030
272	4274	7014
273	4288	6996
274	4303	6979
275	4317	6961
276	4333	6946
277	4348	6929
278	4364	6913
279	4378	6896
280	4392	6877
281	4407	6860
282	4424	6847
283	4439	6831
284	4454	6814
285	4469	6798
286	4485	6782
287	4500	6765
288	4514	6748
289	4529	6732
290	4544	6715
291	4559	6699
292	4574	6682
293	4588	6664
294	4603	6647
295	4619	6632
296	4634	6615
297	4649	6599
298	4665	6584
299	4679	6567
300	4694	6550
301	4709	6534
302	4724	6518
303	4739	6501
304	4755	6486
305	4771	6471
306	4785	6453
307	4801	6438
308	4816	6422
309	4831	6405
310	4845	6388
311	4861	6372
312	4876	6357
313	4892	6341
314	4907	6325
315	4922	6308
316	4937	6292
317	4952	6276
318	4970	6263
319	4984	6246
320	4999	6229
321	5015	6214
322	5030	6198
323	5044	6180
324	5061	6166
325	5075	6149
326	5090	6133
327	5106	6118
328	5121	6102
329	5136	6085
330	5151	6070
331	5168	6056
332	5182	6038
333	5197	6022
334	5213	6007
335	5226	5989
336	5241	5972
337	5257	5956
338	5272	5941
339	5287	5924
340	5301	5907
341	5316	5891
342	5331	5875
343	5345	5858
344	5361	5843
345	5376	5827
346	5391	5811
347	5406	5795
348	5422	5779
349	5436	5763
350	5453	5748
351	5467	5731
352	5482	5715
353	5496	5698
354	5513	5683
355	5527	5667
356	5542	5651
357	5557	5635
358	5572	5619
359	5587	5602
360	5603	5588
361	5618	5571
362	5634	5556
363	5650	5541
364	5665	5525
365	5679	5508
366	5695	5494
367	5712	5479
368	5727	5463
369	5742	5447
370	5758	5432
371	5773	5416
372	5788	5400
373	5803	5384
374	5819	5369
375	5834	5353
376	5849	5337
377	5864	5321
378	5878	5304
379	5892	5287
380	5908	5272
381	5924	5257
382	5939	5241
383	5955	5226
384	5969	5209
385	5985	5194
386	5999	5178
387	6014	5162
388	6029	5146
389	6044	5130
390	6058	5113
391	6072	5096
392	6087	5080
393	6104	5066
394	6117	5048
395	6133	5033
396	6148	5018
397	6164	5002
398	6178	4986
399	6194	4970
400	6209	4955
401	6225	4940
402	6242	4925
403	6257	4909
404	6271	4893
405	6285	4876
406	6300	4860
407	6314	4843
408	6329	4828
409	6345	4813
410	6360	4797
411	6375	4781
412	6389	4765
413	6405	4749
414	6419	4733
415	6435	4718
416	6451	4703
417	6466	4687
418	6480	4670
419	6495	4655
420	6510	4639
421	6525	4623
422	6541	4608
423	6556	4592
424	6570	4576
425	6585	4560
426	6600	4544
427	6614	4527
428	6627	4511
429	6652	4501
430	6670	4488
431	6687	4473
432	6708	4461
433	6730	4451
434	6751	4439
435	6778	4430
436	6798	4418
437	6815	4403
438	6831	4388
439	6848	4373
440	6864	4358
441	6880	4343
442	6896	4327
443	6910	4311
444	6923	4294
445	6939	4278
446	6954	4263
447	6970	4247
448	6985	4231
449	7001	4216
450	7017	4200
451	7032	4185
452	7048	4170
453	7063	4153
454	7078	4138
455	7093	4122
456	7107	4105
457	7123	4090
458	7138	4074
459	7154	4059
460	7172	4045
461	7188	4029
462	7203	4014
463	7218	3998
464	7233	3982
465	7249	3967
466	7263	3950
467	7278	3934
468	7293	3919
469	7309	3903
470	7324	3887
471	7340	3872
472	7355	3856
473	7371	3841
474	7386	3825
475	7403	3810
476	7419	3795
477	7436	3780
478	7452	3765
479	7467	3749
480	7482	3733
481	7498	3717
482	7513	3702
483	7531	3687
484	7547	3672
485	7561	3656
486	7576	3640
487	7592	3624
488	7606	3608
489	7622	3593
490	7638	3578
491	7654	3562
492	7669	3547
493	7685	3531
494	7702	3516
495	7718	3501
496	7737	3487
497	7753	3471
498	7767	3455
499	7783	3440
500	7799	3424
501	7815	3409
502	7832	3394
503	7848	3379
504	7863	3363
505	7879	3347
506	7894	3332
507	7910	3316
508	7925	3300
509	7942	3286
510	7956	3269
511	7973	3254
512	7991	3240
513	8008	3225
514	8024	3209
515	8041	3194
516	8055	3178
517	8070	3162
518	8088	3148
519	8104	3132
520	8118	3116
521	8133	3100
522	8148	3084
523	8164	3069
524	8179	3053
525	8194	3037
526	8210	3022
527	8226	3007
528	8242	2991
529	8258	2976
530	8272	2960
531	8288	2944
532	8304	2929
533	8320	2913
534	8336	2898
535	8351	2882
536	8366	2866
537	8381	2851
538	8397	2835
539	8413	2820
540	8430	2805
541	8445	2789
542	8461	2773
543	8476	2758
544	8492	2742
545	8508	2727
546	8524	2711
547	8539	2695
548	8554	2680
549	8569	2664
550	8584	2648
551	8599	2632
552	8615	2617
553	8631	2601
554	8646	2586
555	8661	2570
556	8678	2555
557	8694	2539
558	8709	2524
559	8726	2508
560	8740	2492
561	8755	2477
562	8778	2463
563	8809	2452
564	8830	2438
565	8846	2422
566	8864	2407
567	8882	2392
568	8898	2377
569	8914	2361
570	8930	2345
571	8945	2330
572	8961	2314
573	8978	2299
574	8996	2284
575	9014	2269
576	9035	2254
577	9050	2239
578	9066	2223
579	9083	2208
580	9098	2192
581	9116	2177
