Date,Revenue,COGS,is_test,day_of_week,day_of_month,month,quarter,year,week_of_year,is_weekend,is_month_start,is_month_end,revenue_lag_1,revenue_lag_7,revenue_lag_30,rolling_mean_7,rolling_std_7,revenue_growth_rate,active_promos_count,is_promo_active,sessions_lag_1,sessions_lag_7,sessions_rolling_mean_7,total_stock_on_hand,total_stockouts,revenue_lag_14,revenue_rolling_mean_7,revenue_rolling_mean_30,revenue_rolling_std_7,is_payday,is_double_day,is_christmas,days_to_payday,days_to_double_day,revenue_lag_2,revenue_lag_3,revenue_diff_1,revenue_diff_7,revenue_acceleration,weekend_x_payday,promo_x_weekend,sessions_per_dayofweek
2012-07-04,5123547.94,3982991.19,0,2,4,7,3,2012,27,0,0,0,,,,,,,0.0,0,,,,0.0,0.0,,,,,0,0,0,1,3,0.0,0.0,,,,0,0,
2012-07-05,2751773.45,2150580.23,0,3,5,7,3,2012,27,0,0,0,5123547.94,,,,,,0.0,0,,,,0.0,0.0,,,,,1,0,0,0,2,0.0,0.0,5123547.94,,5123547.94,0,0,
2012-07-06,3054029.42,2517632.84,0,4,6,7,3,2012,27,0,0,0,2751773.45,,,,,-0.46291642388731113,0.0,0,,,,0.0,0.0,,,,,0,0,0,9,1,5123547.94,0.0,-2371774.49,,-7495322.430000001,0,0,
2012-07-07,2667930.94,2108246.62,0,5,7,7,3,2012,27,1,0,0,3054029.42,,,,,0.10984042672553573,0.0,0,,,,0.0,0.0,,,,,0,1,0,8,0,2751773.45,5123547.94,302255.96999999974,,2674030.46,0,0,
2012-07-08,2360851.9,1808622.79,0,6,8,7,3,2012,27,1,0,0,2667930.94,,,,,-0.12642264592198982,0.0,0,,,,0.0,0.0,,,,,0,0,0,7,30,3054029.42,2751773.45,-386098.48,,-688354.4499999997,0,0,
2012-07-09,3548386.46,2787841.68,0,0,9,7,3,2012,28,0,0,0,2360851.9,,,,,-0.11510007076869844,0.0,0,,,,0.0,0.0,,,,,0,0,0,6,29,2667930.94,3054029.42,-307079.04000000004,,79019.43999999994,0,0,
2012-07-10,5234938.62,4044438.84,0,1,10,7,3,2012,28,0,0,0,3548386.46,,,,,0.503011035973921,0.0,0,,,,0.0,0.0,,,,,0,0,0,5,28,2360851.9,2667930.94,1187534.56,,1494613.6,0,0,
2012-07-11,5582884.78,4338313.07,0,2,11,7,3,2012,28,0,0,0,5234938.62,5123547.94,,3534494.104285714,1182417.179498357,0.4753011485676788,0.0,0,,,,0.0,0.0,,3534494.104285714,,1182417.179498357,0,0,0,4,27,3548386.46,2360851.9,1686552.1600000001,111390.6799999997,499017.6000000001,0,0,
2012-07-12,5734632.02,4458811.27,0,3,12,7,3,2012,28,0,0,0,5582884.78,2751773.45,,3600113.652857143,1292886.5063433975,0.06646613938713197,0.0,0,,,,0.0,0.0,,3600113.652857143,,1292886.5063433975,0,0,0,3,26,5234938.62,3548386.46,347946.16000000015,2831111.33,-1338606.0,0,0,
2012-07-13,5309511.71,4143402.78,0,4,13,7,3,2012,28,0,0,0,5734632.02,3054029.42,,4026236.305714286,1448836.1457073893,0.027180793797431546,0.0,0,,,,0.0,0.0,,4026236.305714286,,1448836.1457073893,0,0,0,2,25,5582884.78,5234938.62,151747.2399999993,2680602.5999999996,-196198.92000000086,0,0,
2012-07-14,3820831.41,3075464.87,0,5,14,7,3,2012,28,1,0,0,5309511.71,2667930.94,,4348448.061428571,1447389.8166826884,-0.0741320992379908,0.0,0,,,,0.0,0.0,,4348448.061428571,,1447389.8166826884,0,0,0,1,24,5734632.02,5582884.78,-425120.3099999996,2641580.77,-576867.5499999989,0,0,
2012-07-15,3948841.28,3154482.05,0,6,15,7,3,2012,28,1,0,0,3820831.41,2360851.9,,4513148.128571428,1280233.2104772015,-0.2803798882665992,0.0,0,,,,0.0,0.0,,4513148.128571428,,1280233.2104772015,1,0,0,0,23,5309511.71,5734632.02,-1488680.2999999998,1459979.5100000002,-1063559.9900000002,1,0,
2012-07-16,3503801.49,2708219.59,0,0,16,7,3,2012,29,0,0,0,3948841.28,3548386.46,,4740003.754285715,927343.9921488013,0.033503145327210326,0.0,0,,,,0.0,0.0,,4740003.754285715,,927343.9921488013,0,0,0,9,22,3820831.41,5309511.71,128009.86999999965,400454.81999999983,1616690.1699999995,0,0,
2012-07-17,4476729.49,3463061.65,0,1,17,7,3,2012,29,0,0,0,3503801.49,5234938.62,,4733634.472857143,936995.3367555395,-0.11270136185367263,0.0,0,,,,0.0,0.0,,4733634.472857143,,936995.3367555395,0,0,0,8,21,3948841.28,3820831.41,-445039.7899999996,-1731137.13,-573049.6599999992,0,0,
2012-07-18,5184141.46,4072012.16,0,2,18,7,3,2012,29,0,0,0,4476729.49,5582884.78,,4625318.882857143,912901.0552103135,0.27767783157144565,0.0,0,,,,0.0,0.0,5123547.94,4625318.882857143,,912901.0552103135,0,0,0,7,20,3503801.49,3948841.28,972928.0,-1106155.29,1417967.7899999996,0,0,
2012-07-19,6421487.11,5007270.91,0,3,19,7,3,2012,29,0,0,0,5184141.46,5734632.02,,4568355.551428571,853714.0912005331,0.1580198159348689,0.0,0,,,,0.0,0.0,2751773.45,4568355.551428571,,853714.0912005331,0,0,0,6,19,4476729.49,3503801.49,707411.9699999997,-550490.5599999996,-265516.03000000026,0,0,
2012-07-20,5171470.46,4213989.64,0,4,20,7,3,2012,29,0,0,0,6421487.11,5309511.71,,4666477.707142857,1031137.4437340152,0.23867899044560414,0.0,0,,,,0.0,0.0,3054029.42,4666477.707142857,,1031137.4437340152,0,0,0,5,18,5184141.46,4476729.49,1237345.6500000004,1111975.4000000004,529933.6800000006,0,0,
2012-07-21,3442157.02,2746075.45,0,5,21,7,3,2012,29,1,0,0,5171470.46,3820831.41,,4646757.528571429,1018026.6303597243,-0.19466155247020345,0.0,0,,,,0.0,0.0,2667930.94,4646757.528571429,,1018026.6303597243,0,0,0,4,17,6421487.11,5184141.46,-1250016.6500000004,1350639.0499999998,-2487362.3000000007,0,0,
2012-07-22,3117550.57,2531656.38,0,6,22,7,3,2012,29,1,0,0,3442157.02,3948841.28,,4592661.187142857,1077550.6835372702,-0.3343949179205018,0.0,0,,,,0.0,0.0,2360851.9,4592661.187142857,,1077550.6835372702,0,0,0,3,16,5171470.46,6421487.11,-1729313.44,-506684.2599999998,-479296.7899999996,0,0,
2012-07-23,4730517.69,3685006.66,0,0,23,7,3,2012,30,0,0,0,3117550.57,3503801.49,,4473905.371428572,1199265.0184704945,-0.09430320816683724,0.0,0,,,,0.0,0.0,3548386.46,4473905.371428572,,1199265.0184704945,0,0,0,2,15,3442157.02,5171470.46,-324606.4500000002,-386250.9200000004,1404706.9899999998,0,0,
